,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Repositories,Protected Branches,,,,,,,,Add team restrictions of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove team restrictions of protected branch,DELETE,/repos/:owner/:repo/branches/:branch/protection/restrictions/teams,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,List user restrictions of protected branch,GET,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Replace user restrictions of protected branch,PUT,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Add user restrictions of protected branch,POST,/repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Protected Branches,,,,,,,,Remove user restrictions of protected branch,DELETE, /repos/:owner/:repo/branches/:branch/protection/restrictions/users,200,,x,,,,,,x,,application/vnd.github.loki-preview+json
Repositories,Collaborators,,,,,,,,List collaborators,GET,/repos/:owner/:repo/collaborators,200,,x,,,,,,,,
Repositories,Collaborators,,,,,,,,Check if a user is a collaborator,GET,/repos/:owner/:repo/collaborators/:username,"204, 404",,,,x,,,,,,
Repositories,Collaborators,,,,,,,,Add user as a collaborator,PUT,/repos/:owner/:repo/collaborators/:username,"201,204",,,x,,,,,,"permission={pull, push*,admin} for orgs only",application/vnd.github.swamp-thing-preview+json
Repositories,Collaborators,,,,,,,,Remove user as a collaborator,DELETE,/repos/:owner/:repo/collaborators/:username,204,,,,x,,,,,,
Repositories,Comments,,,,,,,,List commit comments for a repository,GET,/repos/:owner/:repo/comments,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,List comments for a single commit,GET,/repos/:owner/:repo/commits/:ref/comments,200,,x,,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,Create a commit comment,POST,/repos/:owner/:repo/commits/:sha/comments,201,,,x,,,,x,,,"application/vnd.github.VERSION.{raw,text,html,full}+json"
Repositories,Comments,,,,,,,,Get a single commit comment,GET,/repos/:owner/:repo/comments/:id,200,,,x,,,,,,,"application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Repositories,Comments,,,,,,,,Update a commit comment,PATCH,/repos/:owner/:repo/comments/:id,200,,,x,,,,,,body=S,"application/vnd.github.VERSION.{raw,text,html,full}+json"
